Day,Portfolio_MTM,Portfolio_Cum_Carry,Portfolio_Total,Port_NPV_Shocked,Port_NPV_Base,Port_Settled_CF_Base,Port_Settled_CF_Shock,Port_Daily_IRS_Carry,Port_Daily_IRS_MTM,Aging_Days,Shock_Type,Ramp_Factor_pct,Float_Shocked_pct,Float_Base_pct,t_nxt_s_yr,Shock_1D_bp,ZeroCurve_1D_pct,Shock_3M_bp,ZeroCurve_3M_pct,Shock_6M_bp,ZeroCurve_6M_pct,Shock_9M_bp,ZeroCurve_9M_pct,Shock_1Y_bp,ZeroCurve_1Y_pct,Shock_1.5Y_bp,ZeroCurve_1.5Y_pct,Shock_2Y_bp,ZeroCurve_2Y_pct,Shock_3Y_bp,ZeroCurve_3Y_pct,Shock_4Y_bp,ZeroCurve_4Y_pct,Shock_5Y_bp,ZeroCurve_5Y_pct,Shock_6Y_bp,ZeroCurve_6Y_pct,Shock_7Y_bp,ZeroCurve_7Y_pct,Shock_8Y_bp,ZeroCurve_8Y_pct,Shock_9Y_bp,ZeroCurve_9Y_pct,Shock_10Y_bp,ZeroCurve_10Y_pct
10,3227800,0,3227800,3290275,3290275,0,0,0,3227800,10.0,ramp,2.7,2.81,2.81,0.2247,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
11,3557867,0,3557867,3620342,3620342,0,0,0,3557867,11.0,ramp,3.0,2.81,2.81,0.2219,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
12,3887012,0,3887012,3949487,3949487,0,0,0,3887012,12.0,ramp,3.3,2.81,2.81,0.2192,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
13,4215268,0,4215268,4277743,4277743,0,0,0,4215268,13.0,ramp,3.6,2.81,2.81,0.2164,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
14,4544547,0,4544547,4607023,4607023,0,0,0,4544547,14.0,ramp,3.8,2.81,2.81,0.2137,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
15,4874815,0,4874815,4937290,4937290,0,0,0,4874815,15.0,ramp,4.1,2.81,2.81,0.211,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
16,5204206,0,5204206,5266681,5266681,0,0,0,5204206,16.0,ramp,4.4,2.81,2.81,0.2082,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
17,5532754,0,5532754,5595229,5595229,0,0,0,5532754,17.0,ramp,4.7,2.81,2.81,0.2055,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
18,5862279,0,5862279,5924754,5924754,0,0,0,5862279,18.0,ramp,4.9,2.81,2.81,0.2027,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
19,6192747,0,6192747,6255222,6255222,0,0,0,6192747,19.0,ramp,5.2,2.81,2.81,0.2,0.0,2.5549,0.0,2.8002,0.0,2.9489,0.0,3.1524,0.0,3.3701,0.0,3.6144,0.0,3.7309,0.0,3.8005,0.0,3.8504,0.0,3.8745,0.0,3.861,0.0,3.8411,0.0,3.8333,0.0,3.824,0.0,3.8142
